keys,en,pl
api_connection_stopped,"Server connection stopped","Połączenie z serwerem zostało zatrzymane"
api_connection_retrying,"Reconnecting...","Łączenie ponownie..."
api_connection_estabilished,"Connected to server","Połączono z serwerem"
roomcfg_header,"Rooms","Pokoje"
roomcfg_room_id,"Room ID","Numer pokoju"
roomcfg_btn_private,"Connect privately","Połącz prywatnie"
roomcfg_btn_connect,"Connect","Połącz"
roomcfg_btn_random,"Random room","Losowy pokój"
roomcfg_btn_invite,"Copy invite code","Kopiuj kod zaproszenia"
roomcfg_btn_paste_invite,"Paste invite code","Wklej kod zaproszenia"
roomcfg_info_label,"Room ID indicator color explanation","Wyjaśnienie koloru numeru pokoju"
roomcfg_info0,"Public","Publiczne"
roomcfg_info1,"Private","Prywatne"
roomcfg_info2,"Public means your messages are visible to everyone at anytime.\nPrivate means your messages are one-time and aren't stored in database.","'Publiczne' oznacza, że Twoje wiadomości są zawsze widoczne dla każdego.\n'Prytwatne' oznacza, że Twoje wiadomości są 'jednorazowe' i nie są przechowywane w bazie danych."
settings_header,"Settings","Ustawienia"
settings_btn_save,"Save","Zapisz"
settings_appearance_header,"Appearance","Wygląd"
settings_ui_scale,"UI Scale","Skala interfejsu"
settings_header_height,"Topbar height","Wysokość górnego paska"
settings_navbar_height,"Navigation bar height","Wysokość paska nawigacji"
settings_keyboard_shrink,"Keyboard shrink","Przycięcie klawiatury"
settings_show_message_send_button,"Show send button","Pokaż przycisk wysyłania wiadomości"
settings_app_header,"Application","Aplikacja"
settings_app_language,"Language","Język"
settings_app_auto_login,"Login automatically","Zaloguj automatycznie"
settings_app_background_image_btn,"Select background image","Wybierz obraz tła"
account_login_form_email,"E-Mail","E-Mail"
account_login_form_password,"Password","Hasło"
account_login_form_password_repeat,"Repeat password","Powtórz hasło"
account_login_form_show_password,"Show password","Pokaż hasło"
account_login_btn_login,"Login","Zaloguj"
account_login_btn_register,"Register","Załóż konto"
account_login_btn_reset_password,"Reset password","Zresetuj hasło"
account_register_success,"Account registered successfully","Konto zarejestrowane pomyślnie"
account_logging_in,"Logging in...","Logowanie..."
account_login_note_no_spaces,"E-Mail and password can't contain spaces","E-Mail i hasło nie mogą zawierać spacji"
account_login_note_incorrect_email,"E-Mail is incorrect","Niepoprawny adres E-Mail"
account_login_note_short_password,"Password is too short. Should be at least 6 letters long","Hasło jest za krótkie, powinno zawierać co najmniej 6 znaków"
account_login_note_user_exist,"User already exist","Ten użytkownik już istnieje"
account_login_note_user_not_found,"User not found","Użytkownik nie istnieje"
account_profile_session_time,"Session will expire at","Sesja wygaśnie o"
account_profile_restart_session_btn,"Restart session","Ponów sesję"
account_profile_edit_data,"Edit profile data","Zmień dane profliowe"
account_profile_edit_data_note,"Leave blank for no change","Zostaw puste jeśli nie dokonujesz zmian"
account_profile_edit_data_btn_cancel,"Discard changes","Porzuć zmiany"
account_profile_edit_data_btn_save,"Save","Zapisz"
account_profile_edit_data_input_username,"Name","Nazwa"
account_profile_edit_data_input_picture_url,"Profile picture URL (imgur.com)","URL zdjęcia (imgur.com)"
account_profile_verify_email,"Verify email","Zweryfikuj swój email"
messages_input_placeholder,"Your message","Napisz wiadomość"
session_expired,"Session expired, log in again to continue","Sesja wygasła, zaloguj się ponownie aby kontynuować"
rooms_connected_notif,"Connected to room","Połączono z"
rooms_error_unverified_email,"Verify your email first","Najpierw zweryfikuj swój adres email"
tutorial_continue_btn,"Continue","Kontynuuj"
tutorial_finish_btn,"Finish tutorial","Zakończ poradnik"
tutorial_label_0,"Tutorial\n> Introduction\n\nHere you are present with login screen.","Poradnik\n> Wprowadzenie\n\nTutaj widzisz ekran logowania."